"velocity:0","velocity:1","velocity:2","density","Cell Type"
-3e-06,-1e-06,2e-06,0.99973,12
-1.9e-05,0,7e-06,0.99972,12
-4.7e-05,1e-06,9e-06,0.99975,12
-7.3e-05,1e-06,7e-06,0.99983,12
-8.9e-05,0,3e-06,0.99994,12
-8.9e-05,-0,-2e-06,1.0001,12
-7.3e-05,-1e-06,-7e-06,1.0002,12
-4.7e-05,-1e-06,-9e-06,1.0002,12
-2e-05,-0,-7e-06,1.0003,12
-3e-06,1e-06,-2e-06,1.0003,12
-7e-06,-2e-06,5e-06,0.99974,12
-4.4e-05,1e-06,1.5e-05,0.99972,12
-0.000104,4e-06,1.9e-05,0.99974,12
-0.000161,4e-06,1.5e-05,0.99982,12
-0.000195,1e-06,6e-06,0.99993,12
-0.000195,-2e-06,-5e-06,1.0001,12
-0.000161,-4e-06,-1.5e-05,1.0002,12
-0.000104,-4e-06,-1.9e-05,1.0003,12
-4.5e-05,-1e-06,-1.5e-05,1.0003,12
-7e-06,2e-06,-5e-06,1.0003,12
-1e-05,-3e-06,7e-06,0.99974,12
-5.8e-05,-0,2.1e-05,0.99971,12
-0.000135,3e-06,2.6e-05,0.99973,12
-0.000208,4e-06,2.1e-05,0.99981,12
-0.000252,1e-06,8e-06,0.99993,12
-0.000252,-2e-06,-8e-06,1.0001,12
-0.000208,-4e-06,-2.1e-05,1.0002,12
-0.000135,-3e-06,-2.6e-05,1.0003,12
-5.8e-05,-0,-2.1e-05,1.0003,12
-1e-05,3e-06,-7e-06,1.0003,12
-1.1e-05,-2e-06,8e-06,0.99975,12
-6.4e-05,-0,2.4e-05,0.99971,12
-0.000151,2e-06,3e-05,0.99972,12
-0.000233,2e-06,2.4e-05,0.9998,12
-0.000282,1e-06,9e-06,0.99993,12
-0.000282,-1e-06,-9e-06,1.0001,12
-0.000234,-3e-06,-2.4e-05,1.0002,12
-0.000151,-2e-06,-3e-05,1.0003,12
-6.5e-05,0,-2.4e-05,1.0003,12
-1.1e-05,2e-06,-8e-06,1.0003,12
-1.2e-05,-1e-06,8e-06,0.99975,12
-6.7e-05,-1e-06,2.5e-05,0.99971,12
-0.000158,0,3.2e-05,0.99972,12
-0.000244,1e-06,2.5e-05,0.9998,12
-0.000296,0,9e-06,0.99993,12
-0.000296,-0,-9e-06,1.0001,12
-0.000244,-1e-06,-2.5e-05,1.0002,12
-0.000157,-0,-3.2e-05,1.0003,12
-6.7e-05,1e-06,-2.5e-05,1.0003,12
-1.1e-05,1e-06,-8e-06,1.0002,12
-1.2e-05,1e-06,8e-06,0.99975,12
-6.7e-05,1e-06,2.5e-05,0.99971,12
-0.000158,-0,3.2e-05,0.99972,12
-0.000244,-1e-06,2.5e-05,0.9998,12
-0.000296,-0,9e-06,0.99993,12
-0.000296,0,-9e-06,1.0001,12
-0.000244,1e-06,-2.5e-05,1.0002,12
-0.000157,0,-3.2e-05,1.0003,12
-6.7e-05,-1e-06,-2.5e-05,1.0003,12
-1.1e-05,-1e-06,-8e-06,1.0002,12
-1.1e-05,2e-06,8e-06,0.99975,12
-6.4e-05,0,2.4e-05,0.99971,12
-0.000151,-2e-06,3e-05,0.99972,12
-0.000233,-2e-06,2.4e-05,0.9998,12
-0.000282,-1e-06,9e-06,0.99993,12
-0.000282,1e-06,-9e-06,1.0001,12
-0.000234,3e-06,-2.4e-05,1.0002,12
-0.000151,2e-06,-3e-05,1.0003,12
-6.5e-05,-0,-2.4e-05,1.0003,12
-1.1e-05,-2e-06,-8e-06,1.0003,12
-1e-05,3e-06,7e-06,0.99974,12
-5.8e-05,0,2.1e-05,0.99971,12
-0.000135,-3e-06,2.6e-05,0.99973,12
-0.000208,-4e-06,2.1e-05,0.99981,12
-0.000252,-1e-06,8e-06,0.99993,12
-0.000252,2e-06,-8e-06,1.0001,12
-0.000208,4e-06,-2.1e-05,1.0002,12
-0.000135,3e-06,-2.6e-05,1.0003,12
